10002,Basit Ali,basit@example.com,password,01/03/2022
10003,Wasif Ali,wasif@example.com,password1,01/03/2022
10004,Faaiz Ali,faaiz@example.com,password2,01/03/2022
10005,Shan Ali,shan@example.com,password3,01/03/2022
11002710000,hashim@example.com,password123,password123,12/04/202415000015000
110592,10000,hashim123@example.com,12345678,12345678,12/04/2024120000150000
111046,10000,hashim123@gmail.com,123456789,123456789,12/04/2024120000150000
111774,10000,basit@example123.com,1234,1234,12/04/2024120000150000
112470,10000,basitali@habib.com,123456,123456,12/04/2024100000120000
114772,10000,hashimmemon@example.com,1234567,1234567,12/04/2024,120000,150000
116091,10000,hey@example.com,basit,basit,11/11/2024,120000,150000
116437,10000,hello@example.com,1234,1234,12/11/2024,11,12
117695,10000,hi@example.com,0900,0900,12/11/2024,12000,150000
118211,10000,kashif@gmail.co,0000,0000,12/11/2024,12000,15000
118824,10000,poop@example.com,0000,0000,12/11/2024,90000,120000
120797,10000,hey123@example.com,0800,12/12/2024,12000,120000
121522,10000,pakistan@example.com,1111,12/12/2024,12000,150000
122224,10000,helloworld@example.com,12345,12/12/2024,12000,150000
123468,10000,wasif@example.com,5555,12/12/2024,120000,150000
124066,10000,m.hashim@example.com,poop,12/12/2024,110000,1.2e+06
124964,10000,pakistan12345@gmail.com,poop123,12/12/2024,120000,150000
130316,10000,junaid@gmail.com,12345,12/12/2024,120000,150000
131779,10000,hammad@gmail.com,12345,12/12/2024,150000,160000
101939,10000,johndoe@example.com,password123,04/12/2024,500,200
102164,10000,johndoe@example.com,password123,04/12/2024,500,200
102330,10000,johndoe@example.com,password123,04/12/2024,500,200
